Delta;Eps;Iterations;Root;AbsErrorToRef
0;1e-06;2;0.437906525736931;3.425898453812692e-11
0.1;1e-06;1;0.4416666666666657;0.003760140895475717
0.01;1e-06;1;0.437344398340248;0.0005621274309420277
0.001;1e-06;1;0.4378221113881952;8.441438299477966e-05
0.0001;1e-06;2;0.4379068937759106;3.680047205856241e-07
1e-05;1e-06;2;0.4379076568121016;1.131040911650505e-06
1e-06;1e-06;2;0.4379063593845284;1.663866615597698e-07
