Delta;Eps;Iterations;Root;AbsErrorToRef
0;1e-06;2;0.4379066769465573;1.511753671690208e-07
0.1;1e-06;1;0.449999999999999;0.01209347422880885
0.01;1e-06;1;0.437499999999999;0.0004065257711911574
0.001;1e-06;1;0.4380753138075304;0.0001687880363402394
0.0001;1e-06;2;0.4378969051263402;9.620644849994697e-06
1e-05;1e-06;2;0.4379062617309143;2.640402758102844e-07
1e-06;1e-06;2;0.437906717282919;1.915117288642243e-07
