Eps;Iterations;Root;IntervalLen
0.1;1;0.4380306128836556;0.09999999999999998
0.07943282347242814;1;0.4380306128836556;0.09999999999999998
0.06309573444801933;1;0.4380306128836556;0.09999999999999998
0.05011872336272722;1;0.4380306128836556;0.09999999999999998
0.03981071705534973;1;0.4380306128836556;0.09999999999999998
0.03162277660168379;1;0.4380306128836556;0.09999999999999998
0.02511886431509579;1;0.4380306128836556;0.09999999999999998
0.01995262314968879;1;0.4380306128836556;0.09999999999999998
0.01584893192461113;1;0.4380306128836556;0.09999999999999998
0.01258925411794167;1;0.4380306128836556;0.09999999999999998
0.01;1;0.4380306128836556;0.09999999999999998
0.007943282347242814;1;0.4380306128836556;0.09999999999999998
0.00630957344480193;1;0.4380306128836556;0.09999999999999998
0.005011872336272725;1;0.4380306128836556;0.09999999999999998
0.003981071705534969;1;0.4380306128836556;0.09999999999999998
0.003162277660168379;1;0.4380306128836556;0.09999999999999998
0.002511886431509579;1;0.4380306128836556;0.09999999999999998
0.001995262314968879;1;0.4380306128836556;0.09999999999999998
0.001584893192461114;1;0.4380306128836556;0.09999999999999998
0.001258925411794167;1;0.4380306128836556;0.09999999999999998
0.001;1;0.4380306128836556;0.09999999999999998
0.0007943282347242813;1;0.4380306128836556;0.09999999999999998
0.000630957344480193;1;0.4380306128836556;0.09999999999999998
0.000501187233627272;1;0.4380306128836556;0.09999999999999998
0.0003981071705534974;1;0.4380306128836556;0.09999999999999998
0.0003162277660168379;1;0.4380306128836556;0.09999999999999998
0.000251188643150958;2;0.4379066769465573;0.03803061288365661
0.0001995262314968879;2;0.4379066769465573;0.03803061288365661
0.0001584893192461113;2;0.4379066769465573;0.03803061288365661
0.0001258925411794167;2;0.4379066769465573;0.03803061288365661
0.0001;2;0.4379066769465573;0.03803061288365661
7.943282347242822e-05;2;0.4379066769465573;0.03803061288365661
6.309573444801929e-05;2;0.4379066769465573;0.03803061288365661
5.011872336272715e-05;2;0.4379066769465573;0.03803061288365661
3.981071705534969e-05;2;0.4379066769465573;0.03803061288365661
3.16227766016838e-05;2;0.4379066769465573;0.03803061288365661
2.511886431509582e-05;2;0.4379066769465573;0.03803061288365661
1.995262314968879e-05;2;0.4379066769465573;0.03803061288365661
1.584893192461114e-05;2;0.4379066769465573;0.03803061288365661
1.258925411794166e-05;2;0.4379066769465573;0.03803061288365661
1e-05;2;0.4379066769465573;0.03803061288365661
7.943282347242822e-06;2;0.4379066769465573;0.03803061288365661
6.30957344480193e-06;2;0.4379066769465573;0.03803061288365661
5.011872336272725e-06;2;0.4379066769465573;0.03803061288365661
3.981071705534969e-06;2;0.4379066769465573;0.03803061288365661
3.162277660168379e-06;2;0.4379066769465573;0.03803061288365661
2.511886431509577e-06;2;0.4379066769465573;0.03803061288365661
1.995262314968883e-06;2;0.4379066769465573;0.03803061288365661
1.584893192461114e-06;2;0.4379066769465573;0.03803061288365661
1.258925411794166e-06;2;0.4379066769465573;0.03803061288365661
1e-06;2;0.4379066769465573;0.03803061288365661
