Eps;Iterations;Root;IntervalLen
0.1;1;0.449999999999999;0.09999999999999998
0.07943282347242814;1;0.449999999999999;0.09999999999999998
0.06309573444801933;1;0.449999999999999;0.09999999999999998
0.05011872336272722;1;0.449999999999999;0.09999999999999998
0.03981071705534973;2;0.424999999999999;0.04999999999999999
0.03162277660168379;2;0.424999999999999;0.04999999999999999
0.02511886431509579;2;0.424999999999999;0.04999999999999999
0.01995262314968879;3;0.437499999999999;0.02499999999999997
0.01584893192461113;3;0.437499999999999;0.02499999999999997
0.01258925411794167;3;0.437499999999999;0.02499999999999997
0.01;4;0.443749999999999;0.01250000000000001
0.007943282347242814;4;0.443749999999999;0.01250000000000001
0.00630957344480193;4;0.443749999999999;0.01250000000000001
0.005011872336272725;5;0.440624999999999;0.006249999999999978
0.003981071705534969;5;0.440624999999999;0.006249999999999978
0.003162277660168379;5;0.440624999999999;0.006249999999999978
0.002511886431509579;6;0.439062499999999;0.003124999999999989
0.001995262314968879;6;0.439062499999999;0.003124999999999989
0.001584893192461114;6;0.439062499999999;0.003124999999999989
0.001258925411794167;7;0.438281249999999;0.001562500000000022
0.001;7;0.438281249999999;0.001562500000000022
0.0007943282347242813;7;0.438281249999999;0.001562500000000022
0.000630957344480193;8;0.437890624999999;0.0007812500000000111
0.000501187233627272;8;0.437890624999999;0.0007812500000000111
0.0003981071705534974;8;0.437890624999999;0.0007812500000000111
0.0003162277660168379;9;0.438085937499999;0.0003906250000000333
0.000251188643150958;9;0.438085937499999;0.0003906250000000333
0.0001995262314968879;9;0.438085937499999;0.0003906250000000333
0.0001584893192461113;10;0.437988281249999;0.0001953125000000444
0.0001258925411794167;10;0.437988281249999;0.0001953125000000444
0.0001;10;0.437988281249999;0.0001953125000000444
7.943282347242822e-05;11;0.437939453124999;9.76562500000222e-05
6.309573444801929e-05;11;0.437939453124999;9.76562500000222e-05
5.011872336272715e-05;11;0.437939453124999;9.76562500000222e-05
3.981071705534969e-05;12;0.437915039062499;4.88281250000111e-05
3.16227766016838e-05;12;0.437915039062499;4.88281250000111e-05
2.511886431509582e-05;12;0.437915039062499;4.88281250000111e-05
1.995262314968879e-05;13;0.437902832031249;2.44140624999778e-05
1.584893192461114e-05;13;0.437902832031249;2.44140624999778e-05
1.258925411794166e-05;13;0.437902832031249;2.44140624999778e-05
1,00E-05;14;0.4379089355468739;1.22070312499889e-05
7.943282347242822e-06;14;0.4379089355468739;1.22070312499889e-05
6.30957344480193e-06;14;0.4379089355468739;1.22070312499889e-05
5.011872336272725e-06;15;0.4379058837890615;6.103515624966693e-06
3.981071705534969e-06;15;0.4379058837890615;6.103515624966693e-06
3.162277660168379e-06;15;0.4379058837890615;6.103515624966693e-06
2.511886431509577e-06;16;0.4379074096679677;3.051757812455591e-06
1.995262314968883e-06;16;0.4379074096679677;3.051757812455591e-06
1.584893192461114e-06;16;0.4379074096679677;3.051757812455591e-06
1.258925411794166e-06;17;0.4379066467285146;1.525878906227796e-06
1,00E-06;17;0.4379066467285146;1.525878906227796e-06
