Delta;Eps;Iterations;Root;AbsErrorToRef
0;1,00E-06;17;0.4379066467285146;1.209573213256654e-07
0.1;1,00E-06;1;0.449999999999999;0.01209347422880575
0.01;1,00E-06;3;0.437499999999999;0.000406525771194266
0.001;1,00E-06;8;0.437890624999999;1.590077119428823e-05
0.0001;1,00E-06;8;0.437890624999999;1.590077119428823e-05
1,00E-05;1,00E-06;15;0.4379058837890615;6.419821317882324e-07
1,00E-06;1,00E-06;17;0.4379066467285146;1.209573213256654e-07
